Disease,Primary Antibiotic,Alternate Antibiotic 1,Alternate Antibiotic 2,Reason for Recommendation
typhoid_fever,Azithromycin,Ciprofloxacin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Vancomycin,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Azithromycin,Ciprofloxacin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Ceftriaxone,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Ceftriaxone,Erythromycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Doxycycline,Linezolid,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
pyelonephritis,Doxycycline,Metronidazole,Levofloxacin,Chosen for its targeted activity and minimal side effects.
sinusitis,Amoxicillin,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
cholera,Vancomycin,Metronidazole,Rifampin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Doxycycline,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Ceftriaxone,Linezolid,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Vancomycin,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Amoxicillin,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Vancomycin,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_endocarditis,Azithromycin,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
chlamydia,Azithromycin,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
scarlet_fever,Ceftriaxone,Metronidazole,Rifampin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Amoxicillin,Ciprofloxacin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Ceftriaxone,Erythromycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Azithromycin,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Doxycycline,Metronidazole,Tetracycline,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Azithromycin,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
diphtheria,Vancomycin,Clindamycin,Gentamicin,Effective against common pathogens causing this disease.
bacterial_meningitis,Ceftriaxone,Erythromycin,Rifampin,Chosen for its targeted activity and minimal side effects.
strep_throat,Vancomycin,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
pyelonephritis,Ceftriaxone,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Amoxicillin,Clindamycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Amoxicillin,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
legionnaires_disease,Azithromycin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
ear_infection,Doxycycline,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
osteomyelitis,Azithromycin,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
whooping_cough,Azithromycin,Linezolid,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Doxycycline,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Azithromycin,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Ceftriaxone,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Azithromycin,Metronidazole,Rifampin,Recommended based on clinical guidelines and resistance patterns.
skin_abscess,Doxycycline,Ciprofloxacin,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Doxycycline,Ciprofloxacin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Azithromycin,Metronidazole,Ampicillin,Chosen for its targeted activity and minimal side effects.
campylobacteriosis,Amoxicillin,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Linezolid,Levofloxacin,Chosen for its targeted activity and minimal side effects.
diphtheria,Amoxicillin,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Vancomycin,Clindamycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Azithromycin,Clindamycin,Tetracycline,Effective against common pathogens causing this disease.
pyelonephritis,Doxycycline,Erythromycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
sinusitis,Doxycycline,Metronidazole,Tetracycline,Chosen for its targeted activity and minimal side effects.
cholera,Amoxicillin,Erythromycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
legionnaires_disease,Vancomycin,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Vancomycin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
osteomyelitis,Amoxicillin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
whooping_cough,Vancomycin,Metronidazole,Tetracycline,Effective against common pathogens causing this disease.
tuberculosis,Vancomycin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_endocarditis,Vancomycin,Erythromycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Ceftriaxone,Clindamycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Azithromycin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
skin_abscess,Doxycycline,Metronidazole,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Doxycycline,Ciprofloxacin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
urinary_tract_infection,Ceftriaxone,Metronidazole,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Azithromycin,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Vancomycin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Ceftriaxone,Clindamycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Amoxicillin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
strep_throat,Doxycycline,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
pyelonephritis,Vancomycin,Ciprofloxacin,Gentamicin,Effective against common pathogens causing this disease.
sinusitis,Doxycycline,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
cholera,Azithromycin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
legionnaires_disease,Doxycycline,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
ear_infection,Vancomycin,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Ceftriaxone,Metronidazole,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Vancomycin,Metronidazole,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Vancomycin,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
bacterial_endocarditis,Amoxicillin,Clindamycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Ceftriaxone,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Azithromycin,Erythromycin,Gentamicin,Chosen for its targeted activity and minimal side effects.
skin_abscess,Vancomycin,Metronidazole,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Amoxicillin,Metronidazole,Gentamicin,Effective against common pathogens causing this disease.
urinary_tract_infection,Vancomycin,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
campylobacteriosis,Azithromycin,Clindamycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Clindamycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Amoxicillin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Ceftriaxone,Ciprofloxacin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
strep_throat,Vancomycin,Erythromycin,Rifampin,Effective against common pathogens causing this disease.
pyelonephritis,Ceftriaxone,Ciprofloxacin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Amoxicillin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
cholera,Ceftriaxone,Linezolid,Rifampin,Effective against common pathogens causing this disease.
legionnaires_disease,Doxycycline,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Azithromycin,Erythromycin,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
osteomyelitis,Ceftriaxone,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Azithromycin,Linezolid,Gentamicin,Effective against common pathogens causing this disease.
tuberculosis,Ceftriaxone,Clindamycin,Ampicillin,Effective against common pathogens causing this disease.
bacterial_endocarditis,Ceftriaxone,Erythromycin,Levofloxacin,Effective against common pathogens causing this disease.
chlamydia,Vancomycin,Metronidazole,Gentamicin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Ceftriaxone,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
skin_abscess,Vancomycin,Erythromycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
typhoid_fever,Doxycycline,Clindamycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Vancomycin,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Ceftriaxone,Ciprofloxacin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Clindamycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Amoxicillin,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Vancomycin,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
strep_throat,Ceftriaxone,Erythromycin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
pyelonephritis,Vancomycin,Linezolid,Tetracycline,Effective against common pathogens causing this disease.
sinusitis,Ceftriaxone,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Azithromycin,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Amoxicillin,Linezolid,Rifampin,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Amoxicillin,Erythromycin,Rifampin,Chosen for its targeted activity and minimal side effects.
osteomyelitis,Vancomycin,Ciprofloxacin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
whooping_cough,Vancomycin,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Doxycycline,Ciprofloxacin,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Amoxicillin,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Azithromycin,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
scarlet_fever,Ceftriaxone,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
skin_abscess,Doxycycline,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
typhoid_fever,Ceftriaxone,Linezolid,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
urinary_tract_infection,Vancomycin,Clindamycin,Gentamicin,Effective against common pathogens causing this disease.
campylobacteriosis,Amoxicillin,Ciprofloxacin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Vancomycin,Metronidazole,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
diphtheria,Doxycycline,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
bacterial_meningitis,Azithromycin,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
strep_throat,Ceftriaxone,Linezolid,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
pyelonephritis,Doxycycline,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
sinusitis,Doxycycline,Erythromycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
cholera,Doxycycline,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
legionnaires_disease,Azithromycin,Metronidazole,Ampicillin,Effective against common pathogens causing this disease.
ear_infection,Amoxicillin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
osteomyelitis,Amoxicillin,Erythromycin,Levofloxacin,Recommended based on clinical guidelines and resistance patterns.
whooping_cough,Vancomycin,Erythromycin,Ampicillin,Chosen for its targeted activity and minimal side effects.
tuberculosis,Amoxicillin,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
bacterial_endocarditis,Vancomycin,Linezolid,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Ceftriaxone,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
scarlet_fever,Amoxicillin,Metronidazole,Tetracycline,Chosen for its targeted activity and minimal side effects.
skin_abscess,Azithromycin,Clindamycin,Tetracycline,Effective against common pathogens causing this disease.
typhoid_fever,Azithromycin,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
urinary_tract_infection,Vancomycin,Metronidazole,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Vancomycin,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Amoxicillin,Metronidazole,Rifampin,Chosen for its targeted activity and minimal side effects.
diphtheria,Doxycycline,Erythromycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
bacterial_meningitis,Vancomycin,Linezolid,Gentamicin,Effective against common pathogens causing this disease.
strep_throat,Ceftriaxone,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
pyelonephritis,Doxycycline,Linezolid,Levofloxacin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Amoxicillin,Linezolid,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Vancomycin,Metronidazole,Tetracycline,Effective against common pathogens causing this disease.
legionnaires_disease,Amoxicillin,Erythromycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Azithromycin,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Amoxicillin,Ciprofloxacin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
whooping_cough,Vancomycin,Linezolid,Tetracycline,Chosen for its targeted activity and minimal side effects.
tuberculosis,Vancomycin,Ciprofloxacin,Gentamicin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Doxycycline,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
chlamydia,Azithromycin,Ciprofloxacin,Ampicillin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Amoxicillin,Erythromycin,Levofloxacin,Chosen for its targeted activity and minimal side effects.
skin_abscess,Azithromycin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
typhoid_fever,Vancomycin,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
urinary_tract_infection,Vancomycin,Linezolid,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
campylobacteriosis,Doxycycline,Metronidazole,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Ciprofloxacin,Levofloxacin,Effective against common pathogens causing this disease.
diphtheria,Ceftriaxone,Erythromycin,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_meningitis,Doxycycline,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Doxycycline,Clindamycin,Tetracycline,Effective against common pathogens causing this disease.
pyelonephritis,Ceftriaxone,Linezolid,Rifampin,Recommended based on clinical guidelines and resistance patterns.
sinusitis,Ceftriaxone,Metronidazole,Ampicillin,Effective against common pathogens causing this disease.
cholera,Doxycycline,Erythromycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Amoxicillin,Linezolid,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Ceftriaxone,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
osteomyelitis,Doxycycline,Ciprofloxacin,Tetracycline,Chosen for its targeted activity and minimal side effects.
whooping_cough,Vancomycin,Clindamycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
tuberculosis,Amoxicillin,Metronidazole,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_endocarditis,Azithromycin,Ciprofloxacin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Vancomycin,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
scarlet_fever,Vancomycin,Metronidazole,Ampicillin,Covers a broad spectrum of bacteria responsible for this condition.
skin_abscess,Amoxicillin,Clindamycin,Rifampin,Effective against common pathogens causing this disease.
typhoid_fever,Azithromycin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
urinary_tract_infection,Vancomycin,Clindamycin,Tetracycline,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Azithromycin,Clindamycin,Tetracycline,Recommended based on clinical guidelines and resistance patterns.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Ceftriaxone,Metronidazole,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
diphtheria,Amoxicillin,Erythromycin,Tetracycline,Effective against common pathogens causing this disease.
bacterial_meningitis,Azithromycin,Clindamycin,Levofloxacin,Effective against common pathogens causing this disease.
strep_throat,Vancomycin,Clindamycin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Vancomycin,Erythromycin,Ampicillin,Effective against common pathogens causing this disease.
sinusitis,Vancomycin,Ciprofloxacin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
cholera,Vancomycin,Erythromycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
legionnaires_disease,Doxycycline,Linezolid,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
ear_infection,Vancomycin,Erythromycin,Tetracycline,Chosen for its targeted activity and minimal side effects.
osteomyelitis,Azithromycin,Metronidazole,Ampicillin,Chosen for its targeted activity and minimal side effects.
whooping_cough,Amoxicillin,Erythromycin,Ampicillin,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Azithromycin,Erythromycin,Rifampin,Chosen for its targeted activity and minimal side effects.
bacterial_endocarditis,Amoxicillin,Metronidazole,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
chlamydia,Doxycycline,Erythromycin,Rifampin,Chosen for its targeted activity and minimal side effects.
scarlet_fever,Azithromycin,Clindamycin,Levofloxacin,Covers a broad spectrum of bacteria responsible for this condition.
skin_abscess,Doxycycline,Clindamycin,Rifampin,Chosen for its targeted activity and minimal side effects.
typhoid_fever,Azithromycin,Metronidazole,Rifampin,Effective against common pathogens causing this disease.
urinary_tract_infection,Vancomycin,Linezolid,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
campylobacteriosis,Amoxicillin,Linezolid,Levofloxacin,Effective against common pathogens causing this disease.
gonorrhea,Ceftriaxone,Azithromycin,Doxycycline,Effective and minimizes resistance; recommended by CDC.
cellulitis,Cephalexin,Clindamycin,Doxycycline,Effective for streptococcal and MRSA infections.
syphilis,Penicillin G benzathine,Doxycycline,Tetracycline,Gold standard for all stages; alternatives for penicillin allergy.
bacterial_pneumonia,Amoxicillin,Erythromycin,Levofloxacin,Effective for Streptococcus pneumoniae and atypical pathogens.
lyme_disease,Doxycycline,Ceftriaxone,Amoxicillin,Based on disease stage; ceftriaxone for late-stage disease.
bacterial_conjunctivitis,Azithromycin,Erythromycin,Gentamicin,Effective and minimizes resistance; suitable for children.
impetigo,Doxycycline,Erythromycin,Rifampin,Effective against common pathogens causing this disease.
diphtheria,Amoxicillin,Erythromycin,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
bacterial_meningitis,Azithromycin,Clindamycin,Tetracycline,Covers a broad spectrum of bacteria responsible for this condition.
strep_throat,Azithromycin,Ciprofloxacin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
pyelonephritis,Amoxicillin,Erythromycin,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
sinusitis,Amoxicillin,Linezolid,Rifampin,Covers a broad spectrum of bacteria responsible for this condition.
cholera,Azithromycin,Metronidazole,Ampicillin,Minimizes risk of resistance while effectively treating the infection.
legionnaires_disease,Vancomycin,Metronidazole,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
ear_infection,Amoxicillin,Ciprofloxacin,Rifampin,Recommended based on clinical guidelines and resistance patterns.
osteomyelitis,Doxycycline,Ciprofloxacin,Tetracycline,Effective against common pathogens causing this disease.
whooping_cough,Ceftriaxone,Metronidazole,Gentamicin,Recommended based on clinical guidelines and resistance patterns.
tuberculosis,Ceftriaxone,Clindamycin,Gentamicin,Covers a broad spectrum of bacteria responsible for this condition.
bacterial_endocarditis,Doxycycline,Linezolid,Gentamicin,Minimizes risk of resistance while effectively treating the infection.
chlamydia,Azithromycin,Ciprofloxacin,Rifampin,Minimizes risk of resistance while effectively treating the infection.
